BA3.FGVRFH2/Settings#amplitudes,BA3.FGVRFH2/Settings#amplitudes,BA3.FGVRFH2/Settings#amplitudes (29-11-2024 17:29:36),BA3.FGVRFH2/Settings#amplitudes (29-11-2024 17:29:36)
X,Y,X,Y
0.0,0.0,0.0,0.0
260.0,0.0,260.0,0.0
270.0,3054.376361029489,270.0,3054.376361029489
275.0,3054.376361029489,275.0,3054.376361029489
275.6,3054.376361029489,275.6,3054.376361029489
276.000026206459,5952.1983187539245,276.000026206459,5952.1983187539245
277.000841355685,6346.30931036813,277.000841355685,6346.30931036813
278.000983018751,6655.952016285489,278.000983018751,6655.952016285489
279.001037560247,6910.069721766881,279.001037560247,6910.069721766881
280.001641295819,7117.256665910994,280.001641295819,7117.256665910994
281.002476278206,7283.170648302352,281.002476278206,7283.170648302352
282.003278663699,7409.592410496304,282.003278663699,7409.592410496304
283.003838761851,7503.750416891917,283.003838761851,7503.750416891917
284.004001455436,7534.9359432,284.004001455436,7534.9359432
312.512956108383,7534.9359432,312.512956108383,7534.9359432
345.018537220602,7534.9359432,345.018537220602,7534.9359432
380.025219804932,7534.9359432,380.025219804932,7534.9359432
457.528469,7534.9359432,457.528469,8837.011106593662
510.000000111241,5456.970932047708,510.000000111241,5456.970932047708
600.0,5400.0,600.0,7684.342391918704
720.0,4230.0,720.0,6514.342391918704
760.0,2970.0,760.0,2581.66179337382
805.0,2970.0,805.0,2581.66179337382
810.0,2970.0,810.0,2581.66179337382
820.0,0.0,820.0,0.0
821.0,0.0,821.0,0.0
1200.0,0.0,1200,0.0
